n,slug,draft_title,price_usd,location,category,megapixels,preview_rel,master_rel
1,001-city-idaho-falls,Idaho Falls Aerial View No. 01,29,"Idaho Falls, ID",Cityscapes,36.6,previews/001-city-idaho-falls.jpg,masters_clean/001-city-idaho-falls.jpg
2,002-city-idaho-falls,Idaho Falls Aerial View No. 02,29,"Idaho Falls, ID",Cityscapes,36.6,previews/002-city-idaho-falls.jpg,masters_clean/002-city-idaho-falls.jpg
3,003-city-idaho-falls,Idaho Falls Aerial View No. 03,29,"Idaho Falls, ID",Cityscapes,36.6,previews/003-city-idaho-falls.jpg,masters_clean/003-city-idaho-falls.jpg
4,004-city-idaho-falls,Idaho Falls Aerial View No. 04,29,"Idaho Falls, ID",Cityscapes,36.6,previews/004-city-idaho-falls.jpg,masters_clean/004-city-idaho-falls.jpg
5,005-city-idaho-falls,Idaho Falls Aerial View No. 05,29,"Idaho Falls, ID",Cityscapes,36.6,previews/005-city-idaho-falls.jpg,masters_clean/005-city-idaho-falls.jpg
6,006-city-idaho-falls,Idaho Falls Aerial View No. 06,29,"Idaho Falls, ID",Cityscapes,36.6,previews/006-city-idaho-falls.jpg,masters_clean/006-city-idaho-falls.jpg
7,007-city-idaho-falls,Idaho Falls Aerial View No. 07,29,"Idaho Falls, ID",Cityscapes,36.6,previews/007-city-idaho-falls.jpg,masters_clean/007-city-idaho-falls.jpg
8,008-city-idaho-falls,Idaho Falls Aerial View No. 08,29,"Idaho Falls, ID",Cityscapes,36.6,previews/008-city-idaho-falls.jpg,masters_clean/008-city-idaho-falls.jpg
9,009-city-idaho-falls,Idaho Falls Aerial View No. 09,29,"Idaho Falls, ID",Cityscapes,36.6,previews/009-city-idaho-falls.jpg,masters_clean/009-city-idaho-falls.jpg
10,010-city-idaho-falls,Idaho Falls Aerial View No. 10,29,"Idaho Falls, ID",Cityscapes,36.6,previews/010-city-idaho-falls.jpg,masters_clean/010-city-idaho-falls.jpg
11,011-city-pocatello,Pocatello Aerial View No. 01,29,"Pocatello, ID",Cityscapes,36.6,previews/011-city-pocatello.jpg,masters_clean/011-city-pocatello.jpg
12,012-city-pocatello,Pocatello Aerial View No. 02,29,"Pocatello, ID",Cityscapes,36.6,previews/012-city-pocatello.jpg,masters_clean/012-city-pocatello.jpg
13,013-city-pocatello,Pocatello Aerial View No. 03,29,"Pocatello, ID",Cityscapes,36.6,previews/013-city-pocatello.jpg,masters_clean/013-city-pocatello.jpg
14,014-city-pocatello,Pocatello Aerial View No. 04,29,"Pocatello, ID",Cityscapes,36.6,previews/014-city-pocatello.jpg,masters_clean/014-city-pocatello.jpg
15,015-city-pocatello,Pocatello Aerial View No. 05,29,"Pocatello, ID",Cityscapes,36.6,previews/015-city-pocatello.jpg,masters_clean/015-city-pocatello.jpg
16,016-city-pocatello,Pocatello Aerial View No. 06,29,"Pocatello, ID",Cityscapes,36.6,previews/016-city-pocatello.jpg,masters_clean/016-city-pocatello.jpg
17,017-city-pocatello,Pocatello Aerial View No. 07,29,"Pocatello, ID",Cityscapes,36.6,previews/017-city-pocatello.jpg,masters_clean/017-city-pocatello.jpg
18,018-city-pocatello,Pocatello Aerial View No. 08,29,"Pocatello, ID",Cityscapes,36.6,previews/018-city-pocatello.jpg,masters_clean/018-city-pocatello.jpg
19,019-city-pocatello,Pocatello Aerial View No. 09,29,"Pocatello, ID",Cityscapes,36.6,previews/019-city-pocatello.jpg,masters_clean/019-city-pocatello.jpg
20,020-city-pocatello,Pocatello Aerial View No. 10,29,"Pocatello, ID",Cityscapes,36.6,previews/020-city-pocatello.jpg,masters_clean/020-city-pocatello.jpg
